VC_dum,PE_dum,VC_or_PE_dum,Rev_share_w_TP,TP_chgs_per_head,TP_recruiting,TP_course_dev,TP_instruction,Expansion,Captivity,invisible_1,invisible_2,invisible_3,no_rs_ph,LMS,Institution,Provider,For_Profit,V_PC_None,Start_mo_contract,Start_yr_contract,Term_primary_contract,First_start_date_any,Last_start_date_any,End_date_last_contract,Visible,Captivity_AR_INDEF,Online_homepage,Amount_of_contract,Rev_share_percent,NoVCPE_dum,Visiblerc,invisible_4,provider_rc,cat_termofcontract
"No","No","No",0,1,0,0,1,0,0,"Yes","Yes","No","No","No","Boise State University","Instructional Connections",1,0,8,2015,3,2015,2015,2018,0,0,"https://www.boisestate.edu/online/online-degrees/","","Pricing per student in each type of class on page 9","Yes",0,"No","Instructional Connections","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,1,1,,,,"Yes","Yes","Central New Mexico Community College","Blackboard",1,2,8,2007,5,2007,2012,2017,-999,1,"","Around 400K PER YEAR--seems like there is also other costs not included in this number, as hard to tell with invoices. +90K annually for Collaborate.","","No",,,"Blackboard","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Central Texas College","Blackboard",1,2,3,2002,3,2002,2014,2019,-999,1,"","Around 770K for Hosting and 66K for Collaborate each year.","","No",,,"Blackboard","Between 1 and 4 years"
"No","No","No",0,0,0,0,0,0,1,"No","No","No","Yes","Yes","Chadron State College","Longsight",1,0,5,2018,3,2018,2018,2021,2,1,"https://www.csc.edu/online/","55550 annually","","Yes",2,"No","Longsight","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,1,1,,,,"Yes","Yes","Cleveland State University","Blackboard",1,2,9,2002,888,2002,2010,2013,-999,1,"","Around 115K annually, until new provision might kick in.","","No",,,"Blackboard","Indefinite"
"No","Yes","Yes",0,1,0,1,1,0,1,"No","No","Yes","No","No","Cochise College","Ed2Go",1,2,5,2001,888,2001,2001,888,4,1,"https://www.cochise.edu/downtown-center/cll/online-courses/","","Pay on per student basis for each student enrolled in class.","No",4,"Yes","Ed2Go","Indefinite"
"Yes","No","Yes",0,1,0,0,0,0,0,"No","No","No","No","No","College System of Tennessee","Coursera",1,1,5,2013,1.5,2013,2013,2014,2,0,"https://www.tbr.edu/node/30674","","Pay on per student basis for each student enrolled in class, tiers incentivize higher enrollment.","No",2,"No","Coursera","Between 1 and 4 years"
"Yes","No","Yes",0,0,0,0,0,1,0,,,,"Yes","Yes","College System of Tennessee","D2L",1,1,1,2006,1,2006,2017,2018,-999,0,"https://www.tbr.edu/node/30674","3241125 annually","","No",,,"D2L","1 year"
"Yes","No","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Dakota State University","D2L",1,1,7,2017,5,2017,2017,2022,-999,0,"","$271,753.19 annually","","No",,,"D2L","Between 5 and 9 years"
"Yes","No","Yes",1,0,1,1,0,0,1,"No","No","No","No","No","Eastern Kentucky University","Pearson/ EmbanetCompass",1,1,12,2005,7,2005,2017,2022,2,1,"https://ekuonline.eku.edu/"," Note from contract second round: $6,000,000","50% for E-Learning Program students, 25% for non-E-Learning Program students enrolled in E-Learning Program General Education or Supporting Courses","No",2,"No","Pearson/ EmbanetCompass","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Eastern Kentucky University","Blackboard",1,2,7,2017,3,2017,2017,2020,-999,1,"https://ekuonline.eku.edu/","around $375,000 annually","","No",,,"Blackboard","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","No","Eastern Kentucky University","Learning Objects",1,2,4,2012,1,2012,2012,2013,-999,0,"https://ekuonline.eku.edu/","","","No",,,"Learning Objects","1 year"
"Yes","No","Yes",0,0,0,0,1,0,0,"No","No","No","Yes","No","Eastern Kentucky University","Smarthinking",1,1,7,2018,1,2018,2018,,2,0,"https://ekuonline.eku.edu/","15000","","No",2,"No","Smarthinking","1 year"
"No","Yes","Yes",1,0,1,1,1,1,1,"No","No","No","No","No","Eastern Michigan University","Academic Partnerships",1,2,9,2016,5,2016,2020,2024,2,1,"https://www.emich.edu/online/index.php","","50% for most programs","No",2,"No","Academic Partnerships","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Eastern Michigan University","Instructure",1,2,5,2014,3,2014,2019,2022,-999,0,"https://www.emich.edu/online/index.php","855033.57 total","","No",,,"Instructure","Between 1 and 4 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Eastern New Mexico University","Blackboard",1,2,5,2016,1,2016,2016,2017,-999,1,"","58899.96","","No",,,"Blackboard","1 year"
"No","No","No",0,1,0,0,1,0,0,"Yes","Yes","No","No","No","Emporia State University","Instructional Connections",1,0,3,2018,3,2018,2018,2021,0,0,"https://www.emporia.edu/online-distance-education/","","34-70 dollars per student head, undergrad and grad classes","Yes",0,"No","Instructional Connections","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,0,1,1,"Yes","Yes","No","No","No","Emporia State University","Academic Partnerships",1,2,11,2017,10,2017,2018,2028,0,1,"https://www.emporia.edu/online-distance-education/","","50% after 288th student (discounts on prior students)","No",0,"No","Academic Partnerships","10 years or more"
"No","Yes","Yes",0,1,1,1,0,0,0,"No","No","No","No","No","Florida State University","Keypath",1,2,6,2016,,2016,2016,,2,0,"https://distance.fsu.edu/","","Per credit hour tuition rate set by Keypath","No",2,"No","Keypath","10 years or more"
"No","Yes","Yes",0,0,0,0,0,1,1,,,,"Yes","Yes","Framingham State University","Blackboard",1,2,7,2015,3,2015,2015,2018,-999,1,"","around $290,000 annually for all services","","No",,,"Blackboard","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,1,1,1,"No","Yes","No","No","No","Georgia College and State University","Ed2Go",1,2,10,2007,888,2007,2007,888,1,1,"https://www.gcsu.edu/graduate/online-graduate-programs-the-graduate-school","",".8","No",1,"No","Ed2Go","Indefinite"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Grand Rapids Community College","Blackboard",1,2,5,2002,1,2002,2003,2004,-999,1,"https://www.grcc.edu/programs/online-learning","starts at $368,748, but this appears not to include consultant fees, hardware, technical solutions, etc. which add on many thousands of dollars. There is a statement of "incentive" for the university to sign multiple contracts with Blackboard at once, which appears to have happened here.","","No",,,"Blackboard","1 year"
"No","Yes","Yes",1,0,1,1,1,1,1,"No","No","No","No","No","Grand Rapids Community College","Ed2Go",1,2,12,2005,888,2005,2006,888,2,1,"https://www.grcc.edu/programs/online-learning","",".8","No",2,"No","Ed2Go","Indefinite"
"No","Yes","Yes",1,0,1,1,1,1,1,"No","No","No","No","No","Highland Community College","Ed2Go",1,2,12,2010,888,2010,2014,888,2,1,"https://highland.edu/location/online-classes-completely-online/","","Unstated, but communications included reference revenue share","No",2,"No","Ed2Go","Indefinite"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Idaho State Board of Education","Blackboard",1,2,9,2011,1,2011,2011,2012,-999,1,"","looks to add up to around 1 million","","No",,,"Blackboard","1 year"
"No","No","No",0,0,0,0,0,0,1,,,,"Yes","No","Indiana University","Unizin",0,0,8,2016,1,2016,2017,2018,-999,1,"https://online.iu.edu/","million dollar contract","","Yes",,,"Unizin","1 year"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Institute for American Indian Arts","Blackboard",1,2,3,2011,1,2011,2014,2017,-999,1,"","","","No",,,"Blackboard","1 year"
"No","Yes","Yes",,,,,,,,,,,,"Yes","Iowa State University","Instructure cloud",0,2,6,2017,,2017,2017,,-999,,"","","","No",,,"Instructure cloud","10 years or more"
"No","Yes","Yes",0,0,0,0,0,0,0,,,,"Yes","Yes","Jacksonville State University","Instructure",1,2,1,2019,1,2019,2019,2024,-999,0,"https://www.jsu.edu/online/","cost annually around 175-190K","","No",,,"Instructure","1 year"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Jacksonville State University","Blackboard",1,2,11,2002,1,2002,2018,2019,-999,1,"","looks like annual cost mapped out over many years is likely to be around $329,000","","No",,,"Blackboard","1 year"
